"filename", "language", "JavaScript", "JSON", "XML", "CSS", "Markdown", "Golang HTML Template", "comment", "blank", "total"
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Input\Input.module.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\LeftSideBar\LeftBar.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 6, 14
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\LeftSideBar\LeftBar.module.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 1, 40
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Likes\Likes.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Likes\Likes.module.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Loader\Loader.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Loader\Loader.module.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Post\Post.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 8, 50
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Post\Post.module.css", "CSS", 0, 0, 0, 113, 0, 0, 1, 4, 118
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Posts\Posts.js", "JavaScript", 60, 0, 0, 0, 0, 0, 1, 3, 64
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\Posts\Posts.module.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\RightSideBar\RightBar.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\UI\RightSideBar\RightBar.module.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\User\User.js", "JavaScript", 144, 0, 0, 0, 0, 0, 0, 8, 152
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\components\User\User.module.css", "CSS", 0, 0, 0, 108, 0, 0, 0, 13, 121
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\index.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\logo.svg", "XML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\protectedRoutes.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 0, 31, 13, 142
"c:\Users\yreha\OneDrive\Desktop\Projects\Web Development\twitter\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2168, 13855, 7, 944, 73, 40, 466, 369, 17922
